asset_id,image_path,family,state,status,scope,generation_order,source_reference,image_instruction,3d_strategy,mesh_output,notes
doors__standard__door_standard_reference,doors/standard/door_standard_reference.png,door_standard,reference,DONE,MVP,,,,shared_hinged_mesh,models/doors/door_standard.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
doors__standard__door_standard_closed,doors/standard/door_standard_closed.png,door_standard,closed,DONE,MVP,,,,shared_hinged_mesh,models/doors/door_standard.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
doors__standard__door_standard_open,doors/standard/door_standard_open.png,door_standard,open,DONE,MVP,,,,shared_hinged_mesh,models/doors/door_standard.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
doors__standard__door_standard_damaged,doors/standard/door_standard_damaged.png,door_standard,damaged,DONE,MVP,,,,variant_mesh_or_damage_overlay,models/doors/door_standard_damaged.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
doors__standard__door_standard_destroyed,doors/standard/door_standard_destroyed.png,door_standard,destroyed,DONE,MVP,,,,variant_mesh,models/doors/door_standard_destroyed.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
storage__vault_chest__vault_chest_reference,storage/vault_chest/vault_chest_reference.png,vault_chest,reference,DONE,MVP,,,,shared_hinged_mesh,models/storage/vault_chest.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
storage__vault_chest__vault_chest_closed_full,storage/vault_chest/vault_chest_closed_full.png,vault_chest,closed_full,DONE,MVP,,,,shared_hinged_mesh_plus_contents,models/storage/vault_chest.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
storage__vault_chest__vault_chest_open_empty,storage/vault_chest/vault_chest_open_empty.png,vault_chest,open_empty,DONE,MVP,,,,shared_hinged_mesh,models/storage/vault_chest.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
storage__vault_chest__vault_chest_destroyed,storage/vault_chest/vault_chest_destroyed.png,vault_chest,destroyed,DONE,MVP,,,,variant_mesh,models/storage/vault_chest_destroyed.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
traps__spines__trap_spines_reference,traps/spines/trap_spines_reference.png,trap_spines,reference,DONE,MVP,,,,animated_mesh,models/traps/trap_spines.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
traps__spines__trap_spines_armed,traps/spines/trap_spines_armed.png,trap_spines,armed,DONE,MVP,,,,animated_mesh,models/traps/trap_spines.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
traps__spines__trap_spines_triggered,traps/spines/trap_spines_triggered.png,trap_spines,triggered,DONE,MVP,,,,animated_mesh,models/traps/trap_spines.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
core__core_reference,core/core_reference.png,core,reference,DONE,MVP,,,,static_mesh_plus_vfx,models/core/core_healthy.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
core__core_healthy,core/core_healthy.png,core,healthy,DONE,MVP,,,,static_mesh_plus_vfx,models/core/core_healthy.glb,Validated Batch 01; do not regenerate unless explicitly replacing the canonical asset.
storage__vault_chest__vault_chest_closed_empty,storage/vault_chest/vault_chest_closed_empty.png,vault_chest,closed_empty,TO_GENERATE,MVP,1,storage/vault_chest/vault_chest_reference.png,Edit the canonical vault chest only: keep the lid closed and preserve every design detail; depict the chest as empty with no visible treasure.,shared_hinged_mesh,models/storage/vault_chest.glb,
storage__vault_chest__vault_chest_open_full,storage/vault_chest/vault_chest_open_full.png,vault_chest,open_full,TO_GENERATE,MVP,2,storage/vault_chest/vault_chest_reference.png,Edit the canonical vault chest only: open the existing lid on its hinges and fill the interior with warm gold treasure; preserve exact geometry/material identity.,shared_hinged_mesh_plus_contents,models/storage/vault_chest.glb,
traps__spines__trap_spines_broken,traps/spines/trap_spines_broken.png,trap_spines,broken,TO_GENERATE,MVP,3,traps/spines/trap_spines_reference.png,"Edit the canonical spines trap only: several spikes snapped or bent, mechanism visibly disabled, same base and materials.",variant_mesh,models/traps/trap_spines_broken.glb,
core__core_damaged,core/core_damaged.png,core,damaged,TO_GENERATE,MVP,4,core/core_reference.png,"Edit the canonical Dungeon Core only into the damaged gameplay state. Preserve the same suspended black void/anomaly identity, base, floating stones and proportions; vary cracks, fragmentation and energy intensity, never turn it into a generic crystal.",variant_mesh_plus_vfx,models/core/core_damaged.glb,
core__core_critical,core/core_critical.png,core,critical,TO_GENERATE,MVP,5,core/core_reference.png,"Edit the canonical Dungeon Core only into the critical gameplay state. Preserve the same suspended black void/anomaly identity, base, floating stones and proportions; vary cracks, fragmentation and energy intensity, never turn it into a generic crystal.",variant_mesh_plus_vfx,models/core/core_critical.glb,
core__core_destroyed,core/core_destroyed.png,core,destroyed,TO_GENERATE,MVP,6,core/core_reference.png,"Edit the canonical Dungeon Core only into the destroyed gameplay state. Preserve the same suspended black void/anomaly identity, base, floating stones and proportions; vary cracks, fragmentation and energy intensity, never turn it into a generic crystal.",variant_mesh_plus_vfx,models/core/core_destroyed.glb,
traps__grasp__trap_grasp_reference,traps/grasp/trap_grasp_reference.png,trap_grasp,reference,TO_GENERATE,MVP,7,,Create the canonical Grasp trap: supernatural stone/void hand mechanism integrated into a square dungeon floor base.,animated_mesh,models/traps/trap_grasp.glb,
traps__grasp__trap_grasp_hidden,traps/grasp/trap_grasp_hidden.png,trap_grasp,hidden,TO_GENERATE,MVP,8,traps/grasp/trap_grasp_reference.png,Same canonical Grasp trap fully retracted beneath the floor; only subtle seams/sigil visible.,animated_mesh,models/traps/trap_grasp.glb,
traps__grasp__trap_grasp_active,traps/grasp/trap_grasp_active.png,trap_grasp,active,TO_GENERATE,MVP,9,traps/grasp/trap_grasp_reference.png,Same canonical Grasp trap with the hand erupted upward and reaching.,animated_mesh,models/traps/trap_grasp.glb,
traps__grasp__trap_grasp_broken,traps/grasp/trap_grasp_broken.png,trap_grasp,broken,TO_GENERATE,MVP,10,traps/grasp/trap_grasp_reference.png,"Same canonical Grasp trap destroyed/collapsed, hand fractured and mechanism unusable.",variant_mesh,models/traps/trap_grasp_broken.glb,
traps__void__trap_void_reference,traps/void/trap_void_reference.png,trap_void,reference,TO_GENERATE,MVP,11,,Create the canonical Void trap: circular supernatural rift mechanism embedded in a square dungeon floor base.,animated_mesh,models/traps/trap_void.glb,
traps__void__trap_void_inactive,traps/void/trap_void_inactive.png,trap_void,inactive,TO_GENERATE,MVP,12,traps/void/trap_void_reference.png,"Same Void trap dormant: dark sealed center, faint violet ring only.",animated_mesh,models/traps/trap_void.glb,
